index,unit2_pos,unit1_beam_32,unit1_beam_64
803,"[0.8076188912323514, 0.764069263962405]",2,3
1087,"[0.3204162476099017, 0.0909090908811278]",20,38
1470,"[0.09330678763231579, 0.1406926406237316]",29,57
635,"[0.03019231953776981, 0.9101731601367082]",30,59
1010,"[0.24051230476186672, 0.03571428574174949]",24,47
224,"[0.1983744176077797, 0.1093073594147177]",25,48
1241,"[0.18644937500885117, 0.8603896102403074]",26,52
1298,"[0.3293446357887647, 0.814935064876642]",21,42
1025,"[0.30231317091225696, 0.03787878777742159]",20,39
195,"[0.6952443504871846, 0.7965367964968493]",6,10
675,"[0.2699862482243491, 0.8484848484289222]",23,45
1071,"[0.397426161197734, 0.08874458869165856]",15,29
917,"[0.5221978202480302, 0.015151515172487487]",7,14
925,"[0.4768785534007086, 0.08333333344868118]",11,20
1382,"[0.6122411280592212, 0.7835497836676281]",9,16
786,"[0.5225467457623957, 0.8008658007219905]",12,22
875,"[0.1967118901492585, 0.8290043287236992]",26,54
1052,"[0.417232815432429, 0.1168831168471643]",12,23
513,"[0.40313211961941725, 0.0075757575862437435]",14,27
427,"[0.1572627819648167, 0.8712121210338564]",26,52
827,"[0.2862420722048875, 0.03787878777742159]",21,42
259,"[0.37101044723665094, 0.9112554111545443]",22,44
202,"[0.46113585517573213, 0.010822510793549026]",11,20
1506,"[0.5976067814732589, 0.0790043289159456]",5,8
331,"[0.05281090290477746, 0.12229437224393883]",31,62
1037,"[0.7664251554760821, 0.7954545454790132]",4,6
979,"[0.3335317419611507, 0.7694805192053824]",21,42
1538,"[0.5267954270161154, 0.03787878777742159]",7,13
730,"[0.8415057162189178, 0.7499999998077536]",2,2
800,"[0.36766486730221987, 0.07792207789810954]",15,30
284,"[0.23302066870441082, 0.008658008604079795]",24,46
598,"[0.5446316783272849, 0.7965367964968493]",11,22
209,"[0.4623878820239702, 0.7759740257737902]",15,29
66,"[0.6610701750821703, 0.7716450215486488]",7,13
287,"[0.09283471194069891, 0.8896103894136491]",28,55
1293,"[0.7444428480564718, 0.7932900431357468]",5,9
242,"[0.14956589561680314, 0.8690476189981843]",27,54
886,"[0.09927957144047438, 0.11580086582932826]",29,57
1262,"[0.19909279366848326, 0.8571428571867992]",26,51
873,"[0.28402536894144315, 0.9448051945530275]",25,49
402,"[0.8530202582075632, 0.7911255409462776]",2,2
1527,"[0.10913158597059855, 0.04545454567125959]",28,55
702,"[0.39213070340091777, 0.7575757573939973]",18,34
1431,"[0.08236694649515, 0.14393939383103688]",29,57
54,"[0.1573654071100955, 0.825757575670191]",27,53
791,"[0.5648488331576792, 0.08116883110541483]",6,11
232,"[0.30584347611985707, 0.8419913418605146]",20,39
109,"[0.300404343099233, 0.07683982688027349]",20,39
112,"[0.20943740892219687, 0.826839826688027]",26,51
559,"[0.37137989778298897, 0.1168831168471643]",15,29
743,"[0.6254181974918038, 0.02380952393036441]",3,4
1074,"[0.8863118573106774, 0.8798701296379362]",3,6
1065,"[0.059112087195329004, 0.06277056272562205]",30,62
526,"[0.5893351942737657, 0.7932900431357468]",9,17
1579,"[0.08792922969302545, 0.8885281383958131]",29,57
672,"[0.30602820139302606, 0.9177489175691549]",26,51
310,"[0.16253771474424428, 0.04329004332799323]",27,54
49,"[0.5125100059591025, 0.03787878777742159]",9,16
1500,"[0.43636214364119774, 0.03896103879525764]",12,23
712,"[0.36922476960087836, 0.0703463203118658]",15,29
769,"[0.47031054370909786, 0.08333333344868118]",11,21
409,"[0.4843086143622468, 0.8311688309131684]",14,27
1093,"[0.8587262166146625, 0.7943722941535829]",2,2
1409,"[0.307567578659712, 0.03787878777742159]",20,39
92,"[0.3304735124451675, 0.08982683970949462]",19,38
443,"[0.6610291250182252, 0.7489177489437147]",7,13
826,"[0.6146836066597797, 0.0703463203118658]",4,7
178,"[0.6749245705115114, 0.1071428573790456]",6,11
780,"[0.4523921922846221, 0.8008658007219905]",15,28
1023,"[0.10822848463672598, 0.8820346318274054]",28,55
260,"[0.24517148662586957, 0.10064935050304365]",23,46
1033,"[0.18142074259851027, 0.1320346320196518]",24,47
1021,"[0.2238870302349902, 0.8701298700160203]",25,48
31,"[0.14424991277343047, 0.13636363624479314]",30,60
1375,"[0.41033640524384135, 0.8971861473074871]",20,39
352,"[0.4977319841493323, 0.06926406929402974]",9,17
444,"[0.3133145871453404, 0.10064935050304365]",20,39
802,"[0.7165903819739816, 0.10497835503577924]",4,6
269,"[0.25407934977276003, 0.08116883110541483]",22,43
422,"[0.30290839679570913, 0.07792207789810954]",19,37
1448,"[0.6820878060719905, 0.7932900431357468]",6,11
1571,"[0.2716693007148428, 0.12445887443340806]",20,39
1495,"[0.2241128055721043, 0.1071428573790456]",23,46
603,"[0.2982286898851498, 0.8095238093260704]",23,44
38,"[0.4683196157681837, 0.876623376584428]",18,34
433,"[0.1108556885104535, 0.09415584424223021]",28,55
488,"[0.2159848935818351, 0.10606060605361528]",25,48
1186,"[0.14104800804822332, 0.8755411255665919]",27,53
496,"[0.061903491310252995, 0.8863636363601409]",30,59
992,"[0.09026908314830512, 0.10281385284631]",28,55
492,"[0.1504689969506757, 0.8831168828452415]",28,54
400,"[0.5827877096141275, 0.01948051939762882]",4,7
1041,"[0.14619979065039954, 0.032467532534444205]",27,54
1004,"[0.36329303585666484, 0.8127705625333757]",20,38
1399,"[0.4164118141972788, 0.1266233767766744]",17,32
1411,"[0.5712731676254821, 0.7943722941535829]",11,20
1130,"[0.4976293590040535, 0.11904761919043066]",12,23
650,"[0.022433858093838625, 0.9134199133440135]",30,59
1120,"[0.606576219701483, 0.061688311707786]",4,6
1425,"[0.25235524723290503, 0.03571428574174949]",23,44
1006,"[0.6002750354109314, 0.7456709955826123]",9,17
914,"[0.4411239506650633, 0.8030303030652569]",16,32
81,"[0.6703680137927874, 0.7987012985325214]",7,14
1258,"[0.5953490281458693, 0.061688311707786]",4,7
191,"[0.6515465610344391, 0.04004329012068795]",2,4
102,"[0.04441616551344901, 0.8560606058613689]",30,60
300,"[0.0778719648577597, 0.8928571426209544]",29,57
271,"[0.5197758666648603, 0.8625541124297765]",16,30
268,"[0.6654625315596979, 0.025974025966036512]",2,3
597,"[0.31397138811012626, 0.8409090908426785]",21,41
293,"[0.547648857779323, 0.11255411262202297]",6,11
613,"[0.5056751708664325, 0.8279220777058631]",14,26
103,"[0.4837339135107672, 0.12121212122610277]",13,25
645,"[0.6350033866208689, 0.7813852813243617]",7,13
436,"[0.6397036185634007, 0.033549783552280256]",2,3
1017,"[0.07641468771896397, 0.8571428571867992]",29,58
1575,"[0.43118983600704897, 0.8030303030652569]",16,31
1272,"[0.26126311036521155, 0.8506493503107972]",23,44
1182,"[0.6748219453662326, 0.774891774755954]",6,11
1264,"[0.570164815986468, 0.8084415583082343]",11,21
1209,"[0.6542148149721116, 0.11363636363985903]",2,2
738,"[0.6915908951023331, 0.7943722941535829]",6,11
256,"[0.145666139862865, 0.11255411262202297]",27,52
624,"[0.6703269637288424, 0.057359307482644666]",2,3
1535,"[0.3757927792924891, 0.08874458869165856]",17,33
639,"[0.5478335830524921, 0.08225108212325087]",7,13
1166,"[0.3973030110204826, 0.06818181796859943]",14,27
1157,"[0.5874263664607418, 0.0790043289159456]",6,11
942,"[0.3156339155686475, 0.08333333344868118]",19,37
787,"[0.5766917756141335, 0.11363636363985903]",9,17
913,"[0.6429260483205804, 0.07792207789810954]",3,5
630,"[0.16885942406676835, 0.13311688303748784]",30,59
1476,"[0.6726462921521494, 0.7932900431357468]",6,11
1541,"[0.1915601075470823, 0.8430735930321478]",26,51
1199,"[0.32780525850749487, 0.8538961039794939]",20,39
182,"[0.43790152090788365, 0.06493506506888841]",12,22
676,"[0.23813140124264195, 0.08333333344868118]",23,44
529,"[0.17639211017358541, 0.9880952378810207]",30,59
481,"[0.6167566347140001, 0.7932900431357468]",9,16
1158,"[0.6756839966361601, 0.032467532534444205]",2,2
1553,"[0.3192463208895539, 0.10064935050304365]",20,38
419,"[0.3108105334488642, 0.8170995669123141]",22,42
265,"[0.37285769996834117, 0.09523809526006626]",17,33
1098,"[0.47825373042619806, 0.012987013136815386]",9,17
1380,"[0.37098992220467836, 0.07251082250133503]",16,30
1030,"[0.6259928983432835, 0.7932900431357468]",8,14
120,"[0.67560189650827, 0.027056276983872564]",2,2
1517,"[0.3528047453937273, 0.764069263962405]",20,39
1294,"[0.3472629872132405, 0.03896103879525764]",18,34
593,"[0.3903655507971177, 0.08874458869165856]",15,29
557,"[0.06097986494440788, 0.12229437224393883]",30,59
847,"[0.3923359536914754, 0.09415584424223021]",15,29
1548,"[0.2968329878276878, 0.8409090908426785]",22,43
203,"[0.5179696640116991, 0.07792207789810954]",7,14
170,"[0.6758892469413017, 0.08441558446651723]",2,3
305,"[0.3387040495952995, 0.8138528138588059]",20,39
1540,"[0.7404199421252822, 0.7683982683413435]",4,7
1459,"[0.4692432421340288, 0.8192640691017833]",15,30
699,"[0.6604954742306907, 0.8387445884994121]",11,20
303,"[0.5130641817640257, 0.764069263962405]",14,27
1444,"[0.18413004660012797, 0.08874458869165856]",25,49
991,"[0.2219371523580211, 0.03679653675958554]",25,49
726,"[0.8305042999858344, 0.7164502164092704]",2,3
882,"[0.5687075388476722, 0.07467532484460139]",6,11
326,"[0.1617167135382619, 0.8506493503107972]",26,52
1066,"[0.3472629872132405, 0.001082251017836051]",17,34
407,"[0.23624309846159053, 0.8560606058613689]",24,48
665,"[0.1806613164738616, 0.11038961027875661]",25,49
1086,"[0.22858726216293818, 0.8571428571867992]",24,47
1311,"[0.1539993021582758, 0.09199134189896385]",26,51
576,"[0.7642700272939714, 0.7673160173235074]",4,7
537,"[0.7160156811225019, 0.7251082250133503]",5,9
1119,"[0.371564623056158, 0.08549783563815042]",16,30
383,"[0.28638574741411144, 0.001082251017836051]",20,39
423,"[0.22665790931794164, 0.10064935050304365]",24,46
23,"[0.3088401305399226, 0.8398268395172482]",22,43
205,"[0.6512592106014073, 0.05844155850048072]",2,3
877,"[0.5499066111067125, 0.05519480513937831]",6,11
1326,"[0.42755690565417004, 0.008658008604079795]",12,23
709,"[0.38860039819331765, 0.06926406929402974]",15,29
1235,"[0.33490691898664016, 0.07359307351917108]",19,34
249,"[0.7315120789783918, 0.10497835503577924]",3,4
539,"[0.5898277949973552, 0.11255411262202297]",4,6
237,"[0.586851665609262, 0.07251082250133503]",6,11
354,"[0.18158494283970672, 0.8463203463932502]",26,51
454,"[0.6221957677346241, 0.06060606053615282]",3,4
693,"[0.32086779828413, 0.0]",19,37
1501,"[0.519180640795992, 0.0790043289159456]",9,17
977,"[0.051723076297735864, 0.8906926404314852]",30,58
20,"[0.8505983046243933, 0.8019480517398266]",2,2
289,"[0.603086964557828, 0.0790043289159456]",4,7
859,"[0.5253997249586534, 0.761904761926733]",13,25
758,"[0.6327045832441182, 0.041125541138524]",3,4
1171,"[0.6008702612797997, 0.7857142857033002]",9,17
302,"[0.4115679070601069, 0.0790043289159456]",14,27
369,"[0.46969479279367315, 0.010822510793549026]",10,20
1164,"[0.7239793928715748, 0.10497835503577924]",3,4
829,"[0.1673816218960001, 0.0909090908811278]",26,52
52,"[0.16951622503155425, 0.1168831168471643]",26,51
4,"[0.18560784877089626, 0.8322510822385987]",26,51
538,"[0.1428336856839959, 0.9469696968962938]",30,60
116,"[0.5332608115624473, 0.1168831168471643]",9,18
141,"[0.5163071365531778, 0.08441558446651723]",9,17
670,"[0.8017282075520831, 0.7976190475146853]",3,4
276,"[0.4345148909095075, 0.1168831168471643]",11,22
621,"[0.3562529504734372, 0.9145021643618496]",23,44
168,"[0.17148662794049588, 0.8798701296379362]",26,52
853,"[0.4549783460944045, 0.07467532484460139]",11,22
1387,"[0.07735883910219772, 0.8495670994467583]",30,59
905,"[0.2810697645853227, 0.09415584424223021]",21,42
811,"[0.1718766035188065, 0.11038961027875661]",26,51
50,"[0.28620102214094245, 0.0909090908811278]",20,39
95,"[0.5575829724373373, 0.8095238093260704]",12,22
651,"[0.6053652429171901, 0.034632034723913435]",4,7
304,"[0.6078898216310548, 0.805194805100929]",9,17
636,"[0.6334434843222104, 0.8419913418605146]",11,22
1036,"[0.3578128527720957, 0.07142857132970185]",16,31
105,"[0.4289526077116321, 0.07792207789810954]",12,23
585,"[0.4580776256597489, 0.8019480517398266]",15,29
1230,"[0.5483672338400266, 0.07792207789810954]",6,12
858,"[0.6374458652360112, 0.0790043289159456]",3,6
970,"[0.08563042630169088, 0.8474025974110863]",30,59
1320,"[0.6244945711259587, 0.050865800914236974]",4,4
1464,"[0.19000020524842381, 0.04004329012068795]",26,51
701,"[0.2843332443918635, 0.8192640691017833]",23,45
1048,"[0.43999507399407667, 0.06060606053615282]",12,22
938,"[0.38162188789142376, 0.08441558446651723]",15,29
1113,"[0.5437285769934124, 0.08225108212325087]",7,14
1070,"[0.6644773300979351, 0.06709956695076338]",2,4
429,"[0.7460027503551302, 0.7575757573939973]",4,7
229,"[0.547648857779323, 0.11580086582932826]",9,17
373,"[0.3794872847412857, 0.03896103879525764]",16,32
971,"[0.20276677408530727, 0.8095238093260704]",25,49
860,"[0.44834876132146, 0.05952380951831677]",11,22
703,"[0.3754849038420687, 0.004329004378938461]",15,29
664,"[0.34475893351676434, 0.7997835497041546]",20,39
907,"[0.6654009564637803, 0.0790043289159456]",2,4
1452,"[0.04291783831070818, 0.0703463203118658]",31,60
286,"[0.19254530900884506, 0.8311688309131684]",26,51
1556,"[0.06785575008643904, 0.8961038959820569]",30,58
532,"[0.4722604215860669, 0.061688311707786]",10,19
1305,"[0.13700457708506125, 0.11363636363985903]",28,54
1318,"[0.2044703515931897, 0.11147186129659267]",25,49
212,"[0.46704706388797307, 0.08874458869165856]",11,22
614,"[0.9817327230465748, 0.8841991341706718]",2,3
588,"[0.4666160382603013, 0.8008658007219905]",15,29
89,"[0.10157837483180894, 0.09523809526006626]",29,57
731,"[0.3059666262971084, 0.08549783563815042]",19,38
1224,"[0.17657683544675445, 0.02380952393036441]",26,51
725,"[0.3955583834486551, 0.825757575670191]",19,34
893,"[0.5581987233381782, 0.8939393936387905]",14,28
1433,"[0.07865191601438089, 0.10606060605361528]",29,57
1471,"[0.3145050388976608, 0.0930735929167999]",19,37
615,"[0.4252581022628355, 0.04004329012068795]",14,26
1228,"[0.3476529627915511, 0.9188311688945852]",23,46
1473,"[0.3072186531453465, 0.07792207789810954]",20,39
1558,"[0.4945506044560977, 0.08333333344868118]",9,17
461,"[0.4361363683040836, 0.08982683970949462]",13,26
626,"[0.4564766732971453, 0.12229437224393883]",15,29
1451,"[0.3520247942371061, 0.11904761919043066]",16,31
1377,"[0.2050861025086144, 0.9761904760696356]",28,55
193,"[0.16099833747755835, 0.8809523808095693]",28,54
1551,"[0.2897723774124876, 0.10281385284631]",21,42
1365,"[0.4485540116120177, 0.8831168828452415]",19,38
1533,"[0.7979310769434237, 0.8820346318274054]",6,11
580,"[0.5642741323061995, 0.07467532484460139]",6,11
910,"[0.5970320806217793, 0.034632034723913435]",4,7
1512,"[0.30980480696971285, 0.8073593072903983]",22,43
497,"[0.5261386260513295, 0.1168831168471643]",10,19
1303,"[0.06910777693467711, 0.12121212122610277]",30,59
1099,"[0.655364216660487, 0.02489177494820046]",2,3
1271,"[0.4192442683907318, 0.09199134189896385]",14,26
1438,"[0.5277806284778782, 0.08333333344868118]",8,16
1561,"[0.18679830052321666, 0.020562770723059128]",25,49
1360,"[0.275055930713219, 0.09523809526006626]",22,42
147,"[0.5116479546745911, 0.8030303030652569]",12,23
1290,"[0.18158494283970672, 0.865800865790879]",26,52
1197,"[0.4971572833124366, 0.08441558446651723]",9,17
1185,"[0.7561010652397572, 0.7207792206344118]",3,5
322,"[0.34863816423872995, 0.08982683970949462]",19,36
57,"[0.19704029063165146, 0.01731601720815959]",25,49
143,"[0.6365838139660838, 0.774891774755954]",9,17
737,"[0.47763797951077336, 0.11471861465769508]",9,16
600,"[0.5988998583708581, 0.061688311707786]",4,6
633,"[0.08950965702365647, 0.12878787881234652]",30,59
405,"[0.45159171609602833, 0.11580086582932826]",10,20
1374,"[0.4898708975601223, 0.08549783563815042]",10,20
1015,"[0.5827466595501823, 0.8073593072903983]",10,20
199,"[0.4574823997908806, 0.7997835497041546]",14,28
160,"[0.6638205291331493, 0.7337662337712272]",6,11
228,"[0.5501734365077717, 0.07683982688027349]",7,13
1483,"[0.3681985180897544, 0.7932900431357468]",20,39
654,"[0.36655651567778963, 0.8311688309131684]",19,38
1485,"[0.42550440261733824, 0.804112554083093]",16,32
1362,"[0.6254181974918038, 0.11038961027875661]",5,9
332,"[0.2440426099694668, 0.8549783548435328]",24,46
290,"[0.3323412902088303, 0.0909090908811278]",19,34
878,"[0.43767574557076955, 0.07683982688027349]",12,23
662,"[0.12748096303733, 0.13528138522695707]",28,54
404,"[0.19180640791616896, 0.11471861465769508]",26,51
1031,"[0.21282403892057303, 0.08225108212325087]",24,46
821,"[0.7590771946424341, 0.7564935063761613]",3,6
88,"[0.7880790624132995, 0.7662337659980771]",3,6
871,"[0.5771228012563893, 0.04329004332799323]",4,7
522,"[0.39904763859231007, 0.8073593072903983]",18,34
155,"[0.08316742266915983, 0.09740259744953549]",30,58
1094,"[0.3661460150675065, 0.003246753361102411]",17,32
1270,"[0.33646682128529865, 0.816017315894478]",20,39
1297,"[0.8147000266795241, 0.7164502164092704]",2,4
1477,"[0.12692678721782294, 0.11255411262202297]",28,55
482,"[0.4681554155269872, 0.7976190475146853]",14,27
1150,"[0.11313396686981553, 0.11471861465769508]",28,55
1465,"[0.3070955029680951, 0.8571428571867992]",22,43
448,"[0.32228402537356454, 0.8387445884994121]",20,39
1001,"[0.4139077605153866, 0.07359307351917108]",13,26
1333,"[0.19747131627390715, 0.11255411262202297]",26,52
1487,"[0.4834465630777354, 0.08333333344868118]",11,20
121,"[0.436444243754504, 0.8181818179301501]",16,32
1221,"[0.8095071940279868, 0.7987012985325214]",2,3
987,"[0.2627819625999249, 0.09523809526006626]",23,44
84,"[0.4323802877593694, 0.7521645021510199]",17,33
1536,"[0.5500913363798815, 0.06493506506888841]",6,11
1329,"[0.8600398185588183, 0.7662337659980771]",2,2
187,"[0.4948995299704632, 0.8300865800491295]",14,26
1288,"[0.7296443012293129, 0.8030303030652569]",4,8
1353,"[0.4314771864254968, 0.8246753246523549]",17,34
315,"[0.12836353933923003, 0.11580086582932826]",28,55
387,"[0.5332608115624473, 0.7900432899284415]",11,22
1263,"[0.6118511524809106, 0.7467532466004483]",9,17
134,"[0.036226678441846044, 0.8582251082046353]",30,60
637,"[0.62615709858448, 0.0790043289159456]",4,7
1342,"[0.7632437757828475, 0.10389610386414605]",4,6
82,"[0.506578272200305, 0.08116883110541483]",9,17
751,"[0.060569364348708646, 0.14935064938160852]",30,59
491,"[0.2859957718503848, 0.7824675323421978]",23,44
760,"[0.5807762566412408, 0.8192640691017833]",11,20
548,"[0.15553867942496172, 0.04437229434582928]",28,54
1159,"[0.08491205024098733, 0.8917748917569155]",28,55
1368,"[0.1412122082894198, 0.04653679668909564]",28,55
1239,"[0.5528416904454443, 0.7878787877389724]",11,21
336,"[0.6381437162647422, 0.05952380951831677]",2,3
1260,"[0.6621785267066005, 0.057359307482644666]",2,3
465,"[0.6607828246491385, 0.050865800914236974]",2,2
376,"[0.2918659304986806, 0.12229437224393883]",20,39
997,"[0.4298557090309207, 0.07359307351917108]",12,23
362,"[0.3539746721140752, 0.1266233767766744]",20,40
1564,"[0.1807434166017518, 0.08982683970949462]",25,49
599,"[0.368773218941234, 0.1255411254512441]",20,38
778,"[0.27595903204709155, 0.8614718612581433]",23,45
967,"[0.7110075737295497, 0.7932900431357468]",6,10
1447,"[0.6525317624816179, 0.06709956695076338]",2,3
1265,"[0.007327435816259402, 0.9188311688945852]",30,60
644,"[0.1361630508471063, 0.03571428574174949]",28,55
648,"[0.37242667432608545, 0.7608225107550998]",19,37
447,"[0.6006855360066307, 0.08008658008757877]",3,6
1331,"[0.11032203772291897, 0.8419913418605146]",29,57
13,"[0.20266414892544454, 0.11255411262202297]",24,47
1018,"[0.3243160033638399, 0.07792207789810954]",19,37
1494,"[0.612528478477669, 0.051948051932073025]",4,7
74,"[0.6353523121498182, 0.7932900431357468]",8,15
1546,"[0.4844728146034433, 0.898268398171526]",17,34
401,"[0.67913220171587, 0.8073593072903983]",5,10
824,"[0.2531762484388874, 0.08008658008757877]",23,45
306,"[0.6979536544742183, 0.8852813851885077]",9,17
415,"[0.21961782393471402, 0.826839826688027]",25,48
554,"[0.15174154881630242, 0.8538961039794939]",28,54
609,"[0.6223394429438481, 0.034632034723913435]",2,4
562,"[0.4363826686585864, 0.123376623415572]",15,29
425,"[0.39931446399336934, 0.1168831168471643]",13,26
969,"[0.5837729110613064, 0.06277056272562205]",5,9
164,"[0.3324233903221366, 0.07683982688027349]",19,34
48,"[0.6729952176665149, 0.050865800914236974]",2,3
1206,"[0.38223763880684847, 0.7597402597372637]",19,37
99,"[0.5688922641208413, 0.06385281405105236]",6,11
1114,"[0.5525543400124125, 0.8560606058613689]",14,28
463,"[0.7827836046018994, 0.7608225107550998]",2,3
608,"[0.3581617782864612, 0.9112554111545443]",23,44
63,"[0.38646579504317957, 0.07792207789810954]",15,29
281,"[0.41569343815115917, 0.8214285714450497]",17,33
1521,"[0.4411239506650633, 0.08658008665598646]",12,24
1302,"[0.3794872847412857, 0.08874458869165856]",16,32
312,"[0.29615566183092934, 0.08874458869165856]",20,39
132,"[0.28700149832953614, 0.09415584424223021]",21,42
937,"[0.6584634962258314, 0.06709956695076338]",2,4
1352,"[0.05929681246849802, 0.12229437224393883]",30,59
1400,"[0.05558178198772891, 0.11038961027875661]",30,60
660,"[0.16549331910036474, 0.9935064934315923]",30,58
1490,"[0.08214117115803589, 0.877705627602264]",29,57
216,"[0.2644650150904187, 0.08116883110541483]",22,42
136,"[0.45666139857031435, 0.05844155850048072]",11,21
83,"[0.28154184027693957, 0.123376623415572]",20,39
397,"[0.09804806962420885, 0.8852813851885077]",29,56
560,"[0.8445023706389834, 0.7662337659980771]",2,2
720,"[0.18507419798336172, 0.1320346320196518]",28,55
299,"[0.6482215061319806, 0.7792207791348925]",7,14
1450,"[0.5055314956572086, 0.03787878777742159]",9,17
1005,"[0.3854395435174717, 0.8430735930321478]",19,37
927,"[0.7777960222409197, 0.7954545454790132]",3,5
360,"[0.5519796391755168, 0.08116883110541483]",7,14
578,"[0.16108043760544855, 0.10822510839688164]",26,51
632,"[0.20309517456770024, 0.03896103879525764]",25,49
1505,"[0.13924180538047817, 0.8333333332564348]",28,55
196,"[0.56546458405852, 0.8538961039794939]",14,27
1075,"[0.4347406662466216, 0.07683982688027349]",12,22
1104,"[0.42119414626770085, 0.8398268395172482]",17,33
1059,"[0.10311775209849487, 0.08874458869165856]",30,59
777,"[0.2443915354838323, 0.8246753246523549]",24,48
901,"[0.5699390406639377, 0.8203463201196194]",11,21
931,"[0.0937583382919601, 0.11796536786500036]",28,55
640,"[0.08538412594718812, 0.8538961039794939]",30,59
978,"[0.17197922867866922, 0.13311688303748784]",25,49
996,"[0.5862153896618648, 0.06277056272562205]",5,8
342,"[0.3048993247220394, 0.7770562767916261]",22,43
530,"[0.7170214076016533, 0.804112554083093]",6,11
1060,"[0.42189199729643184, 0.07359307351917108]",12,23
1389,"[0.24217483220580402, 0.09848484846737154]",23,45
1292,"[0.6382668664419936, 0.7380952379963686]",7,14
1269,"[0.3827507645624105, 0.09523809526006626]",16,32
59,"[0.6240019704023694, 0.7489177489437147]",9,16
1335,"[0.756757866219127, 0.7932900431357468]",4,6
1578,"[0.09437408920738483, 0.8495670994467583]",28,55
240,"[0.3770858562046723, 0.07792207789810954]",15,29
772,"[0.3217914246499751, 0.1266233767766744]",22,43
351,"[0.27755998440969515, 0.001082251017836051]",21,42
953,"[0.3513679932723202, 0.08874458869165856]",17,34
1144,"[0.3414544036462784, 0.09848484846737154]",19,37
1391,"[0.2774778842818049, 0.10497835503577924]",22,42
1125,"[0.442027051984352, 0.8030303030652569]",15,29
832,"[0.8372570349506142, 0.8344155842742709]",6,11
1219,"[0.5961700293518517, 0.07251082250133503]",4,7
28,"[0.49227232609673566, 0.7987012985325214]",14,27
1419,"[0.38476221752071327, 0.005411255242977384]",15,29
535,"[0.29281008189649826, 0.9199134199124213]",26,51
663,"[0.3119599351372396, 0.07575757586243743]",19,37
1454,"[0.1265162866075398, 0.8398268395172482]",28,55
582,"[0.4193263685040381, 0.0075757575862437435]",13,26
127,"[0.5369553170112439, 0.11363636363985903]",6,11
479,"[0.6994930317554882, 0.835497835445904]",9,17
986,"[0.4529668931215178, 0.7499999998077536]",15,30
590,"[0.16590381971064788, 0.08874458869165856]",26,52
867,"[0.6115227519985177, 0.7781385281170564]",9,17
1570,"[0.5159171609748673, 0.06818181796859943]",8,14
944,"[0.12491533425952014, 0.8798701296379362]",28,54
594,"[0.22975718889786995, 0.13095238100181575]",26,51
1349,"[0.08386527369789083, 0.054112554121542256]",29,58
349,"[0.44935448780061144, 0.06385281405105236]",11,21
1529,"[0.7989983785330766, 0.7164502164092704]",2,4
623,"[0.6632458282816696, 0.7932900431357468]",7,14
91,"[0.4935859280408914, 0.08549783563815042]",10,19
792,"[0.2094989840181145, 0.03787878777742159]",25,49
952,"[0.34670881139373344, 0.8344155842742709]",20,39
963,"[0.6194043636197002, 0.8441558440499838]",12,23
263,"[0.17091192710360018, 0.990259740224287]",28,55
896,"[0.6137805053259071, 0.06060606053615282]",3,6
1403,"[0.6857412614714259, 0.08549783563815042]",2,2
1216,"[0.6829909074058631, 0.08008658008757877]",2,2
734,"[0.21054576056121102, 0.8279220777058631]",25,49
