index,unit1_rgb,unit1_beam_32,unit1_beam_64
57,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5384_03_31_27.jpg,25,49
58,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1318_03_22_47.jpg,29,57
59,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3657_03_27_46.jpg,9,16
60,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6237_03_33_16.jpg,26,52
61,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6219_03_33_14.jpg,30,60
62,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2539_03_25_23.jpg,9,17
63,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8605_03_38_21.jpg,15,29
64,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6273_03_33_21.jpg,9,17
65,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6243_03_33_17.jpg,23,45
66,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2875_03_26_06.jpg,7,13
67,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2611_03_25_32.jpg,26,51
68,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_997_03_22_06.jpg,26,54
69,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4071_03_28_38.jpg,30,58
70,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6555_03_33_57.jpg,30,59
71,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9865_03_41_05.jpg,25,49
72,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6501_03_33_50.jpg,14,27
73,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9914_03_41_11.jpg,7,13
74,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1051_03_22_13.jpg,8,15
75,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8056_03_37_09.jpg,28,55
76,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4335_03_29_12.jpg,12,22
77,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_672_03_21_24.jpg,28,54
78,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6468_03_33_46.jpg,2,4
79,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2886_03_26_07.jpg,2,3
80,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_573_03_21_11.jpg,2,3
81,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4122_03_28_45.jpg,7,14
82,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2540_03_25_23.jpg,9,17
83,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7846_03_36_42.jpg,20,39
84,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3640_03_27_43.jpg,17,33
85,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7844_03_36_42.jpg,20,36
86,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2843_03_26_02.jpg,18,34
87,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6518_03_33_52.jpg,19,38
88,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8125_03_37_18.jpg,3,6
89,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5955_03_32_40.jpg,29,57
90,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6545_03_33_55.jpg,26,52
91,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_609_03_21_16.jpg,10,19
92,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2587_03_25_29.jpg,19,38
93,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2027_03_24_17.jpg,14,26
94,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9885_03_41_07.jpg,20,39
95,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4113_03_28_44.jpg,12,22
96,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6246_03_33_17.jpg,22,43
97,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7838_03_36_41.jpg,15,29
98,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6278_03_33_21.jpg,7,14
99,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5900_03_32_33.jpg,6,11
100,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6223_03_33_14.jpg,29,57
101,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2562_03_25_26.jpg,14,26
102,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_982_03_22_04.jpg,30,60
103,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9499_03_40_17.jpg,13,25
104,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8618_03_38_22.jpg,22,42
105,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4337_03_29_12.jpg,12,23
106,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6256_03_33_18.jpg,18,34
107,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9890_03_41_08.jpg,17,33
108,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5356_03_31_23.jpg,12,22
109,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2036_03_24_19.jpg,20,39
110,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1048_03_22_12.jpg,9,17
111,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6484_03_33_48.jpg,8,14
112,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6813_03_34_30.jpg,26,51
113,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3618_03_27_41.jpg,25,49
114,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1276_03_22_42.jpg,9,17
115,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6266_03_33_20.jpg,12,24
116,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9492_03_40_16.jpg,9,18
117,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1284_03_22_43.jpg,13,26
118,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9264_03_39_47.jpg,30,59
119,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4101_03_28_42.jpg,19,34
120,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5332_03_31_20.jpg,2,2
121,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8095_03_37_14.jpg,16,32
122,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8099_03_37_15.jpg,14,27
123,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9266_03_39_47.jpg,28,55
124,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6480_03_33_47.jpg,6,11
125,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4331_03_29_12.jpg,10,19
126,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6242_03_33_17.jpg,24,48
127,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7819_03_36_39.jpg,6,11
128,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1270_03_22_41.jpg,7,13
129,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9529_03_40_21.jpg,24,47
130,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9513_03_40_19.jpg,19,34
131,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_574_03_21_11.jpg,2,4
132,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2595_03_25_30.jpg,21,42
133,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8613_03_38_22.jpg,19,37
134,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_981_03_22_04.jpg,30,60
135,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3646_03_27_44.jpg,14,27
136,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1279_03_22_42.jpg,11,21
137,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1293_03_22_44.jpg,18,34
138,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2623_03_25_33.jpg,30,58
139,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6543_03_33_55.jpg,26,51
140,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2560_03_25_25.jpg,13,26
141,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_603_03_21_15.jpg,9,17
142,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9846_03_41_02.jpg,30,59
143,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2873_03_26_05.jpg,9,17
144,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8576_03_38_17.jpg,2,4
145,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6287_03_33_22.jpg,4,7
146,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8101_03_37_15.jpg,13,26
147,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8102_03_37_15.jpg,12,23
148,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8594_03_38_19.jpg,9,17
149,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5350_03_31_22.jpg,9,17
150,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9495_03_40_17.jpg,11,21
151,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6510_03_33_51.jpg,17,33
152,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6817_03_34_30.jpg,24,46
153,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_626_03_21_18.jpg,14,26
154,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6253_03_33_18.jpg,19,37
155,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5957_03_32_40.jpg,30,58
156,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2859_03_26_04.jpg,13,26
157,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7872_03_36_46.jpg,30,60
158,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_684_03_21_25.jpg,30,59
159,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5369_03_31_25.jpg,19,37
160,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6849_03_34_34.jpg,6,11
161,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4356_03_29_15.jpg,22,43
162,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4090_03_28_41.jpg,24,46
163,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6815_03_34_30.jpg,24,46
164,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5929_03_32_36.jpg,19,34
165,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7871_03_36_46.jpg,30,59
166,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_683_03_21_25.jpg,30,59
167,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2050_03_24_20.jpg,28,54
168,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6234_03_33_16.jpg,26,52
169,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9918_03_41_11.jpg,4,8
170,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8574_03_38_16.jpg,2,3
171,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4377_03_29_17.jpg,30,59
172,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9289_03_39_50.jpg,15,29
173,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1062_03_22_14.jpg,4,6
174,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1052_03_22_13.jpg,7,13
175,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_645_03_21_20.jpg,20,39
176,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9309_03_39_53.jpg,6,11
177,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9925_03_41_12.jpg,4,6
178,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9473_03_40_14.jpg,6,11
179,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4320_03_29_10.jpg,5,9
180,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6488_03_33_48.jpg,9,17
181,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5395_03_31_28.jpg,30,59
182,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2024_03_24_17.jpg,12,22
183,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8084_03_37_13.jpg,20,39
184,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4324_03_29_11.jpg,6,11
185,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4321_03_29_10.jpg,6,11
186,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4350_03_29_14.jpg,20,39
187,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6264_03_33_19.jpg,14,26
188,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_995_03_22_05.jpg,28,54
189,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2828_03_26_00.jpg,23,45
190,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4072_03_28_38.jpg,29,57
191,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1257_03_22_39.jpg,2,4
192,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5956_03_32_40.jpg,29,57
193,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6233_03_33_15.jpg,28,54
194,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8628_03_38_24.jpg,26,51
195,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4124_03_28_45.jpg,6,10
196,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9897_03_41_09.jpg,14,27
197,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4112_03_28_44.jpg,12,23
198,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_588_03_21_13.jpg,6,11
199,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2853_03_26_03.jpg,14,28
200,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_604_03_21_15.jpg,9,17
201,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3654_03_27_45.jpg,10,19
202,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5354_03_31_23.jpg,11,20
203,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8589_03_38_19.jpg,7,14
204,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9485_03_40_16.jpg,7,13
205,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4312_03_29_09.jpg,2,3
206,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4352_03_29_14.jpg,20,39
207,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5906_03_32_33.jpg,7,14
208,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3601_03_27_39.jpg,30,59
209,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6833_03_34_32.jpg,15,29
210,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2822_03_25_59.jpg,25,49
211,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4333_03_29_12.jpg,11,21
212,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_616_03_21_16.jpg,11,22
213,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9879_03_41_06.jpg,22,42
214,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2018_03_24_16.jpg,8,14
215,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2879_03_26_06.jpg,6,11
216,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5937_03_32_37.jpg,22,42
217,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_590_03_21_13.jpg,6,11
218,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2025_03_24_17.jpg,12,23
219,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5943_03_32_38.jpg,24,47
220,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4108_03_28_43.jpg,14,27
221,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1291_03_22_43.jpg,17,34
222,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6252_03_33_18.jpg,19,38
223,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2506_03_25_19.jpg,2,2
224,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4362_03_29_16.jpg,25,48
225,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3674_03_27_48.jpg,2,4
226,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8639_03_38_25.jpg,31,61
227,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4340_03_29_13.jpg,14,27
228,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2531_03_25_22.jpg,7,13
229,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9490_03_40_16.jpg,9,17
230,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6806_03_34_29.jpg,28,55
231,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6520_03_33_52.jpg,20,39
232,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8081_03_37_13.jpg,20,39
233,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5894_03_32_32.jpg,4,7
234,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6470_03_33_46.jpg,2,4
235,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1285_03_22_43.jpg,14,27
236,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6228_03_33_15.jpg,29,57
237,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2523_03_25_21.jpg,6,11
238,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6258_03_33_19.jpg,17,33
239,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8104_03_37_15.jpg,12,22
240,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8606_03_38_21.jpg,15,29
241,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2621_03_25_33.jpg,28,55
242,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4081_03_28_40.jpg,27,54
243,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1266_03_22_40.jpg,6,11
244,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7858_03_36_44.jpg,26,51
245,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6248_03_33_17.jpg,20,42
246,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1277_03_22_42.jpg,10,19
247,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9909_03_41_10.jpg,9,17
248,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5934_03_32_37.jpg,20,39
249,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9465_03_40_13.jpg,3,4
250,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7870_03_36_45.jpg,30,59
251,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6276_03_33_21.jpg,9,16
252,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8078_03_37_12.jpg,22,43
253,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2588_03_25_29.jpg,19,38
254,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2887_03_26_07.jpg,2,4
255,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2542_03_25_23.jpg,9,17
256,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4368_03_29_16.jpg,27,52
257,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1047_03_22_12.jpg,9,17
258,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6559_03_33_57.jpg,30,60
259,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9276_03_39_48.jpg,22,44
260,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1302_03_22_45.jpg,23,46
261,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2037_03_24_19.jpg,20,39
262,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9464_03_40_13.jpg,4,6
263,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9850_03_41_03.jpg,28,55
