index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
925,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2548_03_25_24.jpg,"[0.016836606758235496, 0.011913296502012088]",11,20
1382,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8111_03_37_16.jpg,"[0.05368382850920766, 0.07300218913955492]",9,16
786,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8103_03_37_15.jpg,"[0.20870303998179152, 0.1743170969362082]",12,22
875,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6812_03_34_30.jpg,"[0.025367922246731133, 0.03527520509145787]",26,54
1052,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7832_03_36_41.jpg,"[0.013994339022146677, 0.12751219414289283]",12,23
513,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5361_03_31_24.jpg,"[0.007415903256243084, 0.044223218642045356]",14,27
427,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8063_03_37_10.jpg,"[0.09820714214262873, 0.04495931622003792]",26,52
827,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6526_03_33_53.jpg,"[0.026967906494771064, 0.005366904281414124]",21,42
259,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9276_03_39_48.jpg,"[0.03998999563012031, 0.02149529557206983]",22,44
202,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5354_03_31_23.jpg,"[0.0033391459706831705, 0.018818227824389057]",11,20
1506,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_584_03_21_12.jpg,"[0.040647089113373835, 0.008354379688837303]",5,8
331,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2628_03_25_34.jpg,"[0.05117916137572508, 0.02166532304503052]",31,62
1037,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1064_03_22_14.jpg,"[0.3048927826546542, 0.3335637385591056]",4,6
979,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3630_03_27_42.jpg,"[0.032130130880153075, 0.01785034237263351]",21,42
1538,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6483_03_33_48.jpg,"[0.17191113761440902, 0.13109125811250388]",7,13
730,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2889_03_26_07.jpg,"[0.8380691472370518, 1.0]",2,2
800,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8607_03_38_21.jpg,"[0.04384025988858886, 0.024213995679065743]",15,30
284,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5380_03_31_26.jpg,"[0.07372192739061338, 0.05277104161658949]",24,46
598,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8105_03_37_16.jpg,"[0.03546458876748121, 0.04393343601246869]",11,22
209,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6833_03_34_32.jpg,"[0.005952518036961197, 0.017034764835948357]",15,29
66,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2875_03_26_06.jpg,"[0.03718347452961384, 0.07882097081959645]",7,13
287,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8055_03_37_09.jpg,"[0.036673411060583326, 0.006059056591240671]",28,55
1293,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4128_03_28_46.jpg,"[0.04997784001599105, 0.04251499209357915]",5,9
242,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4081_03_28_40.jpg,"[0.0028868045279618632, 0.014749018327891163]",27,54
886,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2622_03_25_33.jpg,"[0.019187094550378505, 0.010776396669602416]",29,57
1262,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4085_03_28_40.jpg,"[0.01935633435949617, 0.014738791830079584]",26,51
873,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9867_03_41_05.jpg,"[0.05705268520815354, 0.027621330945239036]",25,49
402,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4137_03_28_47.jpg,"[0.1858059134663026, 0.2781515844142439]",2,2
1527,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5393_03_31_28.jpg,"[0.03469937636185157, 0.007432828873895351]",28,55
702,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3636_03_27_43.jpg,"[0.04261930717980553, 0.011697068196882076]",18,34
1431,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1317_03_22_47.jpg,"[0.01765795896204195, 0.007459991216680869]",29,57
54,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3611_03_27_40.jpg,"[0.059783786767685504, 0.01692919297162435]",27,53
791,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_591_03_21_13.jpg,"[0.19461089582064986, 0.17727085357327693]",6,11
232,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8081_03_37_13.jpg,"[0.015016165390423872, 0.003153316706513366]",20,39
109,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2036_03_24_19.jpg,"[0.011657856879026856, 0.041391835909630255]",20,39
112,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6813_03_34_30.jpg,"[0.04388098761273593, 0.015285402916845686]",26,51
559,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7837_03_36_41.jpg,"[0.03822094737608852, 0.05201812288331805]",15,29
743,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5337_03_31_20.jpg,"[0.3527593443316941, 0.4137511415208714]",3,4
1074,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9313_03_39_53.jpg,"[0.10010517128996661, 0.1517820245885149]",3,6
1065,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6560_03_33_57.jpg,"[0.02317067617925661, 0.011940630879340245]",30,62
526,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1046_03_22_12.jpg,"[0.05684693694990837, 0.04832423541397963]",9,17
1579,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4075_03_28_39.jpg,"[0.007046247883696628, 0.00035882582601669277]",29,57
672,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9271_03_39_48.jpg,"[0.011314982182646193, 0.008032063415755417]",26,51
310,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6546_03_33_56.jpg,"[0.03834817023813646, 0.03162419245313133]",27,54
49,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6485_03_33_48.jpg,"[0.14862431417003086, 0.09643535825954565]",9,16
1500,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6497_03_33_49.jpg,"[0.02511423833618046, 0.19216332959476784]",12,23
712,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2030_03_24_18.jpg,"[0.03999110904991712, 0.027692706165479086]",15,29
769,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2550_03_25_24.jpg,"[0.09056703129992988, 0.03205360978647169]",11,21
409,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6263_03_33_19.jpg,"[0.03709322892502895, 0.0215490850390638]",14,27
1093,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6296_03_33_24.jpg,"[0.01747348288202035, 0.5921994759636683]",2,2
1409,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6522_03_33_53.jpg,"[0.0867011205632638, 0.036678930499478415]",20,39
92,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2587_03_25_29.jpg,"[0.008922360241349559, 0.007064483803186757]",19,38
443,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3660_03_27_46.jpg,"[0.0203293460598388, 0.11103331114406316]",7,13
826,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2518_03_25_20.jpg,"[0.04303988685779631, 0.1697713708715891]",4,7
178,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9473_03_40_14.jpg,"[0.001839662509567335, 0.02943228123060131]",6,11
780,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2852_03_26_03.jpg,"[0.03623970474919837, 0.013771078412866651]",15,28
1023,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4077_03_28_39.jpg,"[0.002687092177036328, 0.0019555548759129134]",28,55
260,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1302_03_22_45.jpg,"[0.06354286780489815, 0.018182942488374543]",23,46
1033,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7856_03_36_44.jpg,"[0.07523635411742349, 0.03359865201378381]",24,47
1021,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6239_03_33_16.jpg,"[0.03603835156909858, 0.003791794239041044]",25,48
31,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9544_03_40_23.jpg,"[0.017600295536774693, 0.01582801897923304]",30,60
1375,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9882_03_41_07.jpg,"[0.03600190172101298, 0.022555831182503337]",20,39
352,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4329_03_29_11.jpg,"[0.02661964050253207, 0.055684255446446375]",9,17
444,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_648_03_21_21.jpg,"[0.037485973108099035, 0.024781002416607467]",20,39
802,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9467_03_40_13.jpg,"[0.20062312831934617, 0.21795226328166406]",4,6
269,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2040_03_24_19.jpg,"[0.052520832230901246, 0.04628199424353306]",22,43
422,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8614_03_38_22.jpg,"[0.06185691582833481, 0.022787886665554816]",19,37
1448,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1056_03_22_13.jpg,"[0.08135049382805036, 0.068935732195739]",6,11
1571,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7847_03_36_43.jpg,"[0.04754970584327983, 0.04154943866562363]",20,39
1495,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1304_03_22_45.jpg,"[0.039548788385367226, 0.021340808552792863]",23,46
603,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6820_03_34_31.jpg,"[0.039436508789013565, 0.013482710289529375]",23,44
38,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9888_03_41_08.jpg,"[0.05482455639157755, 0.019467409728457813]",18,34
433,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5954_03_32_40.jpg,"[0.04301433680351122, 0.003456154846380318]",28,55
488,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4360_03_29_15.jpg,"[0.026927706180001402, 0.024192739855577]",25,48
1186,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8061_03_37_10.jpg,"[0.0271762331988615, 0.055602099394868515]",27,53
496,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2808_03_25_57.jpg,"[0.0058761608793156785, 0.004191984815084385]",30,59
992,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2053_03_24_21.jpg,"[0.019205553878589052, 0.009358392394544033]",28,55
492,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6232_03_33_15.jpg,"[0.04456843643571351, 0.026883149837785784]",28,54
400,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5341_03_31_21.jpg,"[0.04598581983707385, 0.033479336500999]",4,7
1041,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5389_03_31_27.jpg,"[0.0578278011898707, 0.034136336419282584]",27,54
1004,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2838_03_26_01.jpg,"[0.06593379031597857, 0.0290632862516206]",20,38
1399,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9509_03_40_19.jpg,"[0.04435624206285511, 0.025847826845321373]",17,32
1411,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1044_03_22_12.jpg,"[0.010304758820672763, 0.014199903182782404]",11,20
1130,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9497_03_40_17.jpg,"[0.09451240504946427, 0.1330336236734823]",12,23
650,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8046_03_37_08.jpg,"[0.052922600974429836, 0.019274234052039495]",30,59
1120,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5895_03_32_32.jpg,"[0.18994847972195916, 0.2485393741670064]",4,6
1425,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6532_03_33_54.jpg,"[0.006332897400182358, 0.07162702146561008]",23,44
1006,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6844_03_34_34.jpg,"[0.04791648976477132, 0.01725584833817021]",9,17
914,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1029_03_22_10.jpg,"[0.0418591344637826, 0.011032632563367256]",16,32
81,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4122_03_28_45.jpg,"[0.046740484055154595, 0.019493807473276115]",7,14
1258,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4318_03_29_10.jpg,"[0.09626797506385021, 0.0872540085243116]",4,7
191,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1257_03_22_39.jpg,"[0.541815154381808, 0.7275176610183586]",2,4
102,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_982_03_22_04.jpg,"[0.03969359155999666, 0.00809466487432161]",30,60
300,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4074_03_28_39.jpg,"[0.027758375949476055, 0.0023910889929910245]",29,57
271,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9893_03_41_08.jpg,"[0.013602825460957254, 0.012106166339243518]",16,30
268,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5333_03_31_20.jpg,"[0.7011673268953058, 0.6361837003961096]",2,3
597,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8082_03_37_13.jpg,"[0.035731164907258264, 0.0062615412479099086]",21,41
293,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7818_03_36_39.jpg,"[0.07121696725192114, 0.08154997388420068]",6,11
613,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6265_03_33_20.jpg,"[0.039300671573800725, 0.03271003625627987]",14,26
103,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9499_03_40_17.jpg,"[0.09289044541069748, 0.1892194171565271]",13,25
645,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8113_03_37_17.jpg,"[0.07307948416784439, 0.1272292928950212]",7,13
436,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6469_03_33_46.jpg,"[0.36689198181281507, 0.6030555055115567]",2,3
1017,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3602_03_27_39.jpg,"[0.017911115463215173, 0.007596529298677305]",29,58
1575,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2848_03_26_02.jpg,"[0.013820176725506228, 0.021369423631716105]",16,31
1272,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8076_03_37_12.jpg,"[0.04270070402705772, 0.034347824217015856]",23,44
1182,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8116_03_37_17.jpg,"[0.06462862790992994, 0.05629310480774425]",6,11
1264,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4114_03_28_44.jpg,"[0.025447854067934914, 0.015485727584257522]",11,21
1209,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7808_03_36_38.jpg,"[0.47033887751931003, 0.3976822741819638]",2,2
738,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1057_03_22_13.jpg,"[0.18342764878028087, 0.1880555079009253]",6,11
256,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4368_03_29_16.jpg,"[0.06720947639793225, 0.03758172954927429]",27,52
624,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5887_03_32_31.jpg,"[0.26831594611118503, 0.3189862386702112]",2,3
1535,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2576_03_25_27.jpg,"[0.009360989040257338, 0.017451260463642666]",17,33
639,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_595_03_21_14.jpg,"[0.22082378649108858, 0.1869299241184305]",7,13
1166,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1286_03_22_43.jpg,"[0.07320746884343754, 0.03336185602333553]",14,27
1157,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_586_03_21_13.jpg,"[0.026634642369268255, 0.012146747376353753]",6,11
942,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1295_03_22_44.jpg,"[0.05158854825470569, 0.015716961124494246]",19,37
787,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9486_03_40_16.jpg,"[0.08244979077376993, 0.06068971515380605]",9,17
913,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_576_03_21_11.jpg,"[0.34401694789013687, 0.4645219948552114]",3,5
630,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9541_03_40_23.jpg,"[0.0181278221163028, 0.015777039409768615]",30,59
1476,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1055_03_22_13.jpg,"[0.15291730930034284, 0.08951895796766038]",6,11
1541,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2821_03_25_59.jpg,"[0.04587096179487492, 0.01818055311972696]",26,51
1199,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6249_03_33_17.jpg,"[0.010136808234477752, 0.02147463231200569]",20,39
182,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2024_03_24_17.jpg,"[0.04585291267395793, 0.12270323611310892]",12,22
676,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5940_03_32_38.jpg,"[0.1109768951913919, 0.04617066877950572]",23,44
529,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9851_03_41_03.jpg,"[0.04326321542862297, 0.005845657298589373]",30,59
481,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1049_03_22_12.jpg,"[0.10002125459791097, 0.07361516732987577]",9,16
1158,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6465_03_33_45.jpg,"[0.007685526650200948, 0.7484185772456601]",2,2
1553,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_647_03_21_20.jpg,"[0.04424765433214357, 0.027586044749051776]",20,38
419,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1014_03_22_08.jpg,"[0.04352410726733204, 0.0014172970219387038]",22,42
265,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_637_03_21_19.jpg,"[0.05526201316964657, 0.026630794278704562]",17,33
1098,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5352_03_31_22.jpg,"[0.02508845387772762, 0.06230869400454841]",9,17
1380,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1289_03_22_43.jpg,"[0.025931019658715738, 0.017319940762772497]",16,30
1030,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1050_03_22_12.jpg,"[0.03268361772125982, 0.02900552087519708]",8,14
120,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5332_03_31_20.jpg,"[0.4847696185007709, 0.5423744494297293]",2,2
1517,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3632_03_27_42.jpg,"[0.04937407348090128, 0.018091611261190032]",20,39
